probe_id,phase,sent_at,delivered,latency_ms,path,callback_ms
tablet-verify-16500837,tablet-verify,2026-08-17T18:03:45.122046068Z,true,182,foreground,0
tablet-verify-265667873,tablet-verify,2026-08-17T18:03:51.265695999Z,true,152,foreground,0
tablet-verify-351713609,tablet-verify,2026-08-17T18:03:57.351737841Z,true,210,foreground,0
background-946477153,background,2026-08-17T18:04:29.946502759Z,true,189,background,13
background-37655621,background,2026-08-17T18:05:10.037763435Z,true,241,background,1
background-119422777,background,2026-08-17T18:05:50.119458722Z,true,221,background,0
cold-825592143,cold,2026-08-17T18:06:33.825659545Z,true,392,background,5
cold-933155158,cold,2026-08-17T18:07:13.93319412Z,true,515,background,4
cold-42907659,cold,2026-08-17T18:07:54.042970235Z,true,344,background,4
doze-568061999,doze,2026-08-17T18:08:34.568092807Z,true,198,background,3
doze-671905130,doze,2026-08-17T18:09:14.671931862Z,true,347,background,4
doze-780067136,doze,2026-08-17T18:09:54.780101309Z,true,641,background,3
soak-10696886,soak,2026-08-17T18:34:18.010857112Z,true,1131,background,7
soak-232341588,soak,2026-08-17T18:55:08.232492381Z,true,709,background,3
soak-418464245,soak,2026-08-17T19:06:20.536001712Z,true,639,background,2
soak-702125589,soak,2026-08-17T19:25:14.702278636Z,true,901,background,7
soak-955958426,soak,2026-08-17T19:48:37.956004767Z,true,727,background,3
soak-175936490,soak,2026-08-17T20:01:06.175987497Z,true,678,background,3
soak-369860277,soak,2026-08-17T20:12:45.497256349Z,true,716,background,2
soak-795047616,soak,2026-08-17T20:32:18.795204103Z,true,615,background,3
soak-971380626,soak,2026-08-17T20:56:32.971535318Z,true,1044,background,4
soak-279645417,soak,2026-08-17T21:13:21.389652901Z,true,862,background,2
soak-609875013,soak,2026-08-17T21:30:53.610055912Z,true,920,background,4
soak-719320490,soak,2026-08-17T21:46:22.719475002Z,true,798,background,3
soak-983956211,soak,2026-08-17T21:57:53.983998244Z,true,534,background,4
soak-193964717,soak,2026-08-17T22:09:42.194049466Z,true,622,background,3
soak-461000971,soak,2026-08-17T22:29:43.560086778Z,true,637,background,3
soak-733139122,soak,2026-08-17T22:51:58.733204724Z,true,1484,background,3
soak-856306480,soak,2026-08-17T23:12:08.856456131Z,true,896,background,3
