probe_id,phase,sent_at,delivered,latency_ms,path,callback_ms
foreground-66388140,foreground,2026-08-17T16:58:30.177935671Z,true,482,foreground,0
background-221387578,background,2026-08-17T16:59:37.221425269Z,true,524,background,45
background-528052285,background,2026-08-17T17:00:17.528075215Z,true,566,background,2
background-871218398,background,2026-08-17T17:00:57.871368849Z,true,504,background,1
cold-139269659,cold,2026-08-17T17:01:42.139301715Z,true,1178,background,45
cold-620869505,cold,2026-08-17T17:02:22.620924372Z,true,635,background,1
cold-852009585,cold,2026-08-17T17:03:02.852033911Z,true,330,background,0
doze-912987978,doze,2026-08-17T17:03:43.913008352Z,true,710,background,1
doze-187306470,doze,2026-08-17T17:04:24.187330781Z,true,592,background,1
doze-630962596,doze,2026-08-17T17:05:04.630988529Z,true,241,background,0
soak-127178301,soak,2026-08-17T17:18:42.127235441Z,true,1670,background,12
soak-375495905,soak,2026-08-17T17:28:56.375544202Z,true,945,background,0
soak-600298003,soak,2026-08-17T17:45:01.600452472Z,true,860,background,1
soak-851984160,soak,2026-08-17T18:04:44.937176549Z,true,1211,background,3
soak-48977661,soak,2026-08-17T18:18:24.049048021Z,true,796,background,0
soak-195177234,soak,2026-08-17T18:36:10.195230689Z,true,899,background,0
soak-301432033,soak,2026-08-17T19:00:21.301484826Z,true,1021,background,0
soak-514409207,soak,2026-08-17T19:24:17.635869523Z,true,934,background,5
soak-819833602,soak,2026-08-17T19:46:55.819879036Z,true,966,background,7
soak-98955836,soak,2026-08-17T20:05:08.099032656Z,true,1310,background,0
soak-234563643,soak,2026-08-17T20:24:43.381367768Z,true,852,background,1
soak-549262996,soak,2026-08-17T20:45:18.549312464Z,true,1055,background,1
soak-796961495,soak,2026-08-17T21:00:49.797205978Z,true,670,background,1
soak-44296385,soak,2026-08-17T21:18:07.044476296Z,true,787,background,0
soak-225479976,soak,2026-08-17T21:29:53.386934488Z,true,1049,background,5
soak-598853682,soak,2026-08-17T21:46:24.598914253Z,true,6069,background,1
soak-819956615,soak,2026-08-17T22:10:18.820019276Z,true,1006,background,5
soak-977288673,soak,2026-08-17T22:26:00.97735508Z,true,928,background,1
soak-254970614,soak,2026-08-17T22:37:43.342546326Z,true,907,background,0
soak-512792015,soak,2026-08-17T22:51:18.512862607Z,true,847,background,0
soak-803906083,soak,2026-08-17T23:11:46.804066862Z,true,711,background,0
